# Frame Logs
frame,download_ms,decrypt_ms,buffer_count,timestamp_ms,rep,bitrate_bps,size_bytes
197,5.61,15.47,24,28888124.634,3,1059274752,5517056
198,5.95,17.37,24,28888166.299,3,1059274752,5517056
199,5.09,18.41,24,28888208.452,3,1059274752,5517056
200,4.93,15.96,24,28888249.975,3,1059274752,5517056
201,5.49,15.48,24,28888291.429,3,1059274752,5517056
202,4.78,15.84,24,28888332.933,3,1059274752,5517056
203,5.94,15.01,24,28888374.416,3,1059274752,5517056
204,5.16,16.46,24,28888416.978,3,1059274752,5517056
205,4.84,15.36,24,28888458.069,3,1059274752,5517056
206,5.02,14.76,24,28888499.800,3,1059274752,5517056
207,4.74,14.77,24,28888541.268,3,1059274752,5517056
208,4.65,15.16,24,28888583.253,3,1059274752,5517056
209,5.38,15.29,24,28888625.147,3,1059274752,5517056
210,5.89,17.27,24,28888666.757,3,1059274752,5517056
211,4.57,19.51,24,28888707.817,3,1059274752,5517056
212,6.76,16.47,24,28888750.047,3,1059274752,5517056
213,5.37,15.75,24,28888791.720,3,1059274752,5517056
214,5.46,15.11,24,28888833.695,3,1059274752,5517056
215,4.75,15.58,24,28888874.819,3,1059274752,5517056
216,5.72,16.53,24,28888916.145,3,1059274752,5517056
217,6.06,15.92,24,28888958.197,3,1059274752,5517056
218,5.17,16.43,24,28889000.315,3,1059274752,5517056
219,5.61,16.04,24,28889041.072,3,1059274752,5517056
220,6.04,14.80,24,28889082.751,3,1059274752,5517056
221,5.77,15.25,24,28889125.034,3,1059274752,5517056
222,4.70,16.11,24,28889166.144,3,1059274752,5517056
223,5.59,15.46,24,28889208.536,3,1059274752,5517056
224,6.34,16.33,24,28889249.448,3,1059274752,5517056
225,5.36,14.91,24,28889291.235,3,1059274752,5517056
226,5.93,15.61,24,28889333.428,3,1059274752,5517056
227,5.26,14.75,24,28889374.986,3,1059274752,5517056
228,5.50,15.36,24,28889416.425,3,1059274752,5517056
229,5.73,15.74,24,28889457.828,3,1059274752,5517056
230,5.98,15.47,24,28889499.951,3,1059274752,5517056
231,5.49,15.56,24,28889541.079,3,1059274752,5517056
232,5.05,15.41,24,28889583.396,3,1059274752,5517056
233,5.22,15.55,24,28889624.870,3,1059274752,5517056
234,4.79,16.04,24,28889666.869,3,1059274752,5517056
235,5.19,16.68,24,28889708.281,3,1059274752,5517056
236,5.61,15.17,24,28889749.381,3,1059274752,5517056
237,6.40,14.97,24,28889791.303,3,1059274752,5517056
238,4.93,15.16,24,28889833.299,3,1059274752,5517056
239,4.52,14.64,24,28889875.279,3,1059274752,5517056

# Stall Logs
stall_start_ms,duration_ms
